2015,6,29,2,1,0	0,4,9365,1,0,3935,1,3707,0,1,0,6,3,3,27155,1,7,0,5,0,2,6971,251,0,89,0,36,51,17,2,0,324,0,13102,279,755,3,0,14,2,7,29,2,2570,18,48,4567,13,210,32,4910,6,15,0,5,1,14857,353,63075,1316,0,1275,0,17,32,1324,0,481,3,6,16,31,1,2,0,5871,24,1,0,412,4,12,3574,1568,47626,1,8338,22,3,964,23951,5523,2,0,0,1,0,937,15,115,324,33,92,0,1,26339,0,0,720,12327,0,1925,0,33,1,3,5,9,0,0,38,3,0,0,34,23090,844,1,4051
2015,6,28,2,1,0	1,10,17784,2,0,2682,4,2064,0,0,0,5,0,14,24366,1,15,0,10,2,4,5924,362,0,141,0,40,65,20,6,0,492,0,9996,273,888,7,0,21,0,10,24,1,3200,31,56,4805,20,432,74,4507,10,10,0,5,2,15871,505,49123,1422,0,1932,0,18,42,3064,0,735,7,5,15,71,1,7,1,5026,21,4,2,573,6,13,3231,2379,37251,1,6279,24,9,1128,25241,11458,7,0,1,9,0,1603,29,129,432,34,287,0,2,27785,0,0,1104,15756,0,2206,3,54,2,5,3,16,0,0,23,22,0,0,59,19401,1243,0,4152
2015,6,21,2,1,0	1,4,17251,3,0,3403,3,2074,1,0,0,4,3,9,25102,1,11,0,8,1,1,6821,559,0,154,0,40,72,30,6,0,542,0,10746,312,923,4,0,29,1,9,24,8,3686,40,54,5061,17,461,70,5152,10,13,0,19,1,18051,509,50097,1444,0,2420,0,17,49,3526,0,895,11,6,23,98,0,2,0,5481,15,3,0,573,9,7,3003,2975,37782,4,7417,54,8,1799,25614,11201,3,0,0,1,0,1506,43,168,548,35,305,0,2,29231,0,0,1267,13431,0,2362,1,73,2,23,2,15,0,0,30,29,0,0,49,22687,1393,0,4115
2015,6,20,2,1,0	0,9,20895,6,0,3999,5,2677,1,0,0,4,3,12,31673,0,9,0,7,0,8,8482,487,0,183,1,36,57,31,1,0,619,0,11742,362,1031,9,0,27,2,8,18,1,4371,43,58,2532,11,402,85,5666,11,17,0,11,3,22709,579,57419,1640,0,2399,0,13,58,3629,0,849,12,10,13,86,0,1,0,6645,14,7,0,702,8,9,3899,2803,48097,4,9366,44,20,1658,29010,13612,1,0,1,7,0,1646,31,171,483,28,322,0,3,33046,0,0,1268,14406,0,2832,0,63,8,2,3,12,0,0,30,15,0,0,41,22410,1548,0,1818
2015,6,23,2,1,0	0,5,10592,4,0,4302,1,4989,0,0,0,8,7,1,32322,0,4,0,2,0,2,7969,306,0,112,0,44,42,19,3,0,302,0,14122,339,911,7,0,12,0,7,24,6,3064,11,58,4427,4,187,42,6020,1,5,0,3,3,16592,303,71191,1538,0,1461,0,22,43,1442,0,568,8,7,12,33,0,2,0,7065,12,1,0,468,1,11,4263,1731,58408,2,9332,24,6,1151,26500,6709,5,0,0,5,0,1001,12,125,421,18,70,0,2,32868,0,0,699,11351,0,2522,2,41,1,0,1,6,0,2,40,6,0,0,24,23785,987,0,3899
2015,6,22,2,1,0	8,13,8664,2,0,3951,2,4144,0,0,0,3,1,2,27525,1,7,0,8,0,4,7360,340,0,108,0,35,41,15,2,0,280,0,13514,295,883,2,0,16,1,10,46,3,2476,19,37,5809,10,199,39,5802,10,5,0,5,3,14160,271,64789,1380,0,1507,0,10,35,1362,0,562,6,4,8,57,2,1,0,6130,22,2,0,426,0,10,3670,1564,51584,2,8567,26,6,956,23330,5466,4,0,1,3,0,960,15,95,350,15,76,0,2,29645,0,0,649,10542,0,2245,0,40,5,3,2,8,0,0,37,12,0,0,47,24749,992,0,5270
2015,6,25,2,1,0	0,3,12681,4,0,4398,1,4821,1,0,0,6,4,6,33266,0,15,0,6,0,1,7989,249,0,93,0,53,33,12,0,0,419,1,14583,368,1029,5,0,20,0,5,23,6,3306,18,40,5019,9,200,36,5918,13,10,0,1,1,16907,521,68740,1779,0,1653,0,15,42,1926,0,664,10,9,12,52,0,1,0,7418,15,2,0,566,3,8,4722,1692,58807,3,10080,39,4,1146,28622,8099,0,0,0,3,0,1124,16,134,499,19,99,0,0,33182,0,0,970,11751,0,2628,0,28,5,0,1,2,0,2,43,10,0,0,29,22634,1067,0,4499
2015,6,24,2,1,0	0,4,11371,3,0,4465,0,4787,0,1,0,18,2,2,32373,1,11,0,5,1,3,8038,269,0,96,0,43,31,14,3,0,353,0,14666,354,1004,4,0,13,1,7,18,1,3082,22,49,5132,11,188,52,6040,6,4,0,5,2,16281,349,69674,1641,0,1579,0,7,35,1765,1,575,5,2,6,45,0,2,0,7141,17,1,0,558,0,3,4726,1632,58582,15,9470,28,11,1153,26859,7028,0,0,1,3,0,1120,5,114,411,17,75,0,0,32880,0,0,728,11285,0,2700,1,58,1,2,1,5,0,0,33,8,0,0,47,22753,983,0,4635
2015,6,27,2,1,0	0,6,24153,7,1,3711,1,2906,0,0,0,11,4,21,36937,0,15,0,9,1,5,8931,400,2,156,0,47,75,33,4,0,687,0,13233,406,1119,10,0,29,0,6,22,1,4776,54,65,2716,20,554,75,4904,16,19,0,7,2,22594,765,62069,1777,0,2636,1,23,49,4460,0,929,15,14,19,107,0,2,0,6417,22,8,0,874,6,4,4115,3018,49037,7,9115,52,7,1816,31721,16297,4,0,2,5,0,2112,40,208,589,37,333,1,5,34531,0,0,1712,17742,0,2900,2,54,10,3,2,20,0,1,27,15,0,0,52,22948,1613,0,2077
2015,6,26,2,1,0	0,5,15190,4,0,4323,4,4075,0,0,0,8,3,3,35213,1,7,0,7,0,2,7909,288,0,104,0,44,47,15,3,0,481,1,14650,388,1040,3,0,32,0,6,24,3,3644,20,65,4606,7,259,50,5766,12,4,0,4,1,19360,487,65328,1803,0,1943,0,13,36,2128,1,793,9,6,15,52,0,0,0,7222,14,3,0,529,4,7,4371,2097,55208,0,10031,48,6,1297,29511,9334,0,0,1,4,0,1213,11,122,529,29,131,1,1,33709,0,0,1041,12067,0,2813,0,41,1,1,0,1,0,0,26,8,0,0,35,23543,1441,0,4048
2015,6,8,2,1,0	14,2,9654,4,0,4050,1,5288,0,0,0,8,4,5,29039,0,8,0,1,0,3,7809,285,1,108,0,30,27,11,0,0,373,0,13464,372,925,5,0,17,1,6,17,4,2769,22,37,5794,15,209,42,5621,6,10,0,6,5,15215,312,68072,1623,0,1573,0,15,32,1473,0,592,3,5,12,52,1,0,0,6585,16,3,0,538,3,7,3914,1801,56860,4,8388,32,8,1002,23969,6013,5,0,0,3,0,986,13,108,410,24,89,0,0,31029,0,0,685,10690,0,2471,3,31,4,2,1,6,0,0,29,5,0,0,39,22279,1093,0,5242
2015,6,9,2,1,0	1,5,10100,0,0,4325,3,6091,0,0,0,12,1,4,31074,0,4,0,5,1,0,8246,263,0,77,0,34,33,17,1,0,308,0,13980,349,934,2,0,15,1,2,19,2,2793,17,46,5151,5,152,43,6460,9,8,0,3,0,15942,284,69769,1662,0,1515,0,9,36,1228,0,576,4,1,13,37,0,1,0,7173,27,2,0,523,3,10,4561,1466,61500,2,8889,20,8,1032,26134,6241,2,0,0,3,0,1042,9,112,416,19,68,0,1,33841,0,0,642,12252,0,2605,0,36,2,2,0,7,0,0,19,7,0,0,21,22743,975,1,4702
2015,6,2,2,1,0	0,3,10809,5,0,4450,2,6165,0,0,0,5,4,2,32574,1,7,0,5,0,0,8201,340,1,76,0,37,41,13,1,0,429,0,13659,420,1083,3,0,12,3,5,21,5,2979,13,50,5646,10,192,34,5898,6,2,0,4,1,16622,362,70920,1871,0,1694,0,15,33,1669,0,653,8,4,8,44,0,1,0,7385,21,9,0,626,4,9,4537,1647,61894,1,8840,26,2,1134,26960,6702,5,0,1,1,0,1090,25,108,397,21,68,0,0,35259,0,0,787,11659,0,2849,0,33,2,0,1,5,0,0,27,9,0,0,29,21845,1094,0,5133
2015,6,3,2,1,0	0,7,11560,0,0,4311,1,6146,0,0,0,3,3,7,33038,1,8,0,4,0,2,8317,261,0,97,0,31,36,24,2,0,418,0,14099,374,1122,2,0,18,2,5,13,1,3284,31,72,4811,9,256,40,6572,10,10,0,1,2,16821,520,70209,1685,0,1654,1,19,44,1747,0,623,31,7,18,51,0,1,0,7751,8,7,0,595,3,9,4780,1585,63384,21,9306,25,6,1218,27656,7336,1,0,0,1,0,1068,12,96,408,24,119,0,0,36115,0,0,865,11913,0,2791,0,41,4,0,1,4,0,0,35,3,0,0,43,22368,1058,0,4328
2015,6,1,2,1,0	0,3,10240,0,0,4356,0,5500,0,0,0,6,3,5,30911,1,11,0,3,0,1,7854,353,0,87,1,41,42,5,0,0,371,0,12122,360,986,6,0,14,1,2,29,1,2633,23,33,6688,13,231,42,5573,9,10,0,5,1,16018,356,65838,1863,0,1758,0,14,31,1629,0,715,9,6,6,49,0,0,0,6610,16,3,0,508,3,22,4101,1861,57482,3,8603,52,11,1146,24793,5885,1,0,0,3,0,1012,12,109,469,20,100,0,0,32441,0,0,775,10973,0,2804,4,38,3,1,1,5,0,0,42,28,0,0,29,22744,1186,1,6079
2015,6,6,2,1,0	1,23,21752,11,0,4170,2,3443,1,0,0,5,9,13,35078,1,15,0,22,0,0,9101,452,1,153,1,47,71,40,2,0,816,0,13550,498,1350,10,0,22,1,6,30,2,4639,51,57,2507,15,561,83,6268,16,21,0,6,4,23570,683,60218,1641,0,2866,0,12,76,4140,0,921,12,9,17,110,0,1,0,7256,37,9,2,833,3,10,4293,3272,53765,4,9042,44,9,2040,31062,14338,2,0,1,5,0,1772,38,158,552,42,493,0,2,35630,0,0,1671,15418,1,3270,1,65,5,5,5,5,0,1,31,24,0,0,65,24027,1945,0,1806
