2015,1,31,2,1,0	15885,3,28439,26,0,3388,4,4784,0,0,0,3,4,3,42413,0,16,0,5,0,2,11162,427,0,221,0,66,79,35,1,0,726,0,14093,543,1323,5,0,18,3,10,14,0,5739,20,65,1916,11,514,51,5681,13,15,0,9,2,31611,751,67371,2443,0,3581,0,22,34,4081,0,1038,15,14,11,57,0,2,0,7920,18,8,0,851,2,6,5063,3024,66239,3,8847,33,6,2387,36469,17985,6,0,0,3,0,2213,34,160,544,32,317,0,4,44778,0,0,1882,16678,0,3415,0,44,2,2,1,5,14,0,30,10,0,0,57,24990,1796,0,1100
2015,1,30,2,1,0	11547,8,16627,4,0,4288,1,6180,0,0,0,6,1,6,40283,0,17,0,4,28,2,10072,441,0,165,1,51,47,23,5,0,600,0,16258,451,1486,4,0,17,1,4,22,4,4451,21,53,3490,18,313,44,5973,5,11,0,2,4,22202,580,74184,2782,0,2584,0,25,25,2408,0,951,8,8,13,52,0,1,0,8615,21,1,0,722,1,7,5381,2204,68805,4,10187,51,10,1560,33243,10111,2,0,0,4,0,1456,26,190,590,30,131,0,1,38636,0,0,1332,14703,0,3350,0,35,8,1,2,7,0,2,48,12,0,3,54,25949,1673,0,2320
2015,1,15,2,1,0	9550,25,12389,5,0,4330,0,6177,0,0,0,13,3,1,36450,0,11,0,2,0,1,9808,349,0,122,0,34,38,12,1,0,369,0,16186,356,1032,3,0,14,0,7,21,2,3558,16,118,4197,6,213,38,5789,6,8,0,2,2,18955,346,78822,1890,0,1654,0,17,24,1665,0,647,8,3,10,49,0,1,0,8192,10,1,0,554,7,2,4938,2057,63596,2,9795,20,3,1410,30393,7830,5,1,1,3,0,1021,12,132,392,25,101,0,46,36512,0,0,777,12080,0,2492,0,23,3,0,1,7,0,0,25,6,0,0,28,25236,1034,0,2898
2015,1,14,2,1,0	9620,3,11564,1,0,4184,1,6013,0,0,0,28,0,2,35186,1,7,0,7,0,4,9677,358,0,108,0,38,45,10,0,0,401,0,16324,362,943,4,0,14,0,3,15,2,3236,18,26,3433,7,176,54,5812,5,7,0,5,1,18220,419,82627,1652,0,1519,0,23,40,1600,0,575,5,7,7,31,0,1,0,7670,15,2,0,541,5,5,4823,2099,62356,3,9489,28,4,1191,29308,7188,4,1,0,4,0,978,10,125,379,12,79,0,52,34160,0,0,831,12235,0,2476,0,29,0,0,1,5,0,0,20,5,0,0,21,25499,913,0,2356
2015,1,17,2,1,0	14813,8,25502,1,0,3462,8,3773,0,0,0,11,3,6,38267,0,12,0,6,0,1,10463,390,0,212,0,73,58,29,4,0,620,0,13156,398,979,5,0,16,3,6,30,3,5387,40,74,2043,9,453,65,5222,6,12,0,6,1,29268,664,65998,1682,0,2070,0,22,59,3794,0,779,9,11,18,62,0,2,0,7226,24,9,0,707,7,8,4733,3066,59011,8,8469,29,12,2129,33300,16371,1,1,0,2,0,1904,32,191,455,39,326,0,9,38454,0,0,1469,14786,0,2668,0,33,6,4,3,13,0,1,37,17,0,0,40,24603,1523,1,1192
2015,1,16,2,1,0	11205,7,16594,0,0,4203,4,5710,0,0,0,14,2,5,39175,0,10,0,12,0,1,9804,422,0,132,0,67,38,17,3,0,496,0,15755,431,1133,6,0,17,0,19,22,2,4348,27,56,4021,17,304,39,5737,5,6,0,5,2,21799,444,75374,1992,0,2014,2,23,41,2158,0,825,10,8,11,53,0,0,0,8325,11,0,1,662,3,6,5258,2435,66878,4,9942,31,3,1609,32523,10252,4,1,1,3,0,1363,15,182,488,22,152,0,34,38343,0,0,1003,13749,0,2880,2,36,2,4,3,10,0,0,28,8,0,0,48,27004,1335,0,2770
2015,1,11,2,1,0	11440,9,21028,9,0,2648,3,3447,0,0,0,7,2,1,31633,1,7,0,20,1,7,8582,349,1,113,0,38,57,26,0,0,509,0,11035,409,948,5,0,24,1,7,53,10,4871,28,99,4052,12,386,51,4764,9,8,0,9,1,22332,533,57264,1468,0,1824,0,18,36,3301,0,777,12,9,8,57,1,2,0,6675,13,6,0,605,3,9,3935,3255,49753,5,6221,24,6,1399,28642,15385,4,2,1,3,0,1548,43,169,448,21,289,0,21,36716,0,0,1234,15166,0,2364,3,26,2,2,3,11,0,1,22,11,0,0,62,20750,1077,0,2887
2015,1,10,2,1,0	14144,12,26579,1,0,3385,0,4600,0,0,0,5,3,5,41534,1,9,0,11,1,4,11235,337,0,164,1,28,57,17,2,0,641,0,14169,455,1110,2,0,16,4,12,13,3,5749,21,61,2542,18,469,41,5696,12,8,0,7,1,30709,652,69487,1531,0,2031,0,23,43,3397,1,802,5,14,9,56,0,1,0,7877,14,4,0,730,8,6,5225,3560,67731,5,8582,40,7,1742,36309,16772,0,1,2,4,0,1884,38,162,442,22,241,0,31,46687,0,0,1499,16148,0,3032,1,53,5,0,6,9,0,0,25,17,0,1,81,25452,1343,0,1700
2015,1,13,2,1,0	9325,3,11143,2,0,4229,0,6317,1,0,0,8,2,4,35302,0,6,0,5,0,2,9189,341,0,114,0,50,29,13,3,0,376,0,15864,343,928,1,0,14,0,4,17,4,3229,9,47,3907,33,180,22,6033,3,5,0,15,2,18322,305,82890,1788,0,1619,0,14,30,1527,0,597,4,4,9,41,0,18,0,7555,10,2,0,498,3,1,4737,1790,63388,3,9448,18,3,1129,28900,6706,3,1,0,4,0,1067,11,108,391,23,77,0,64,36594,0,0,682,15968,0,2636,0,49,3,0,0,3,0,0,24,4,0,0,22,25992,949,1,2638
2015,1,12,2,1,0	7652,6,8798,4,0,3798,3,5749,0,1,0,10,2,6,30014,0,5,0,1,0,1,7811,331,0,91,0,35,27,12,1,0,331,0,14371,343,829,7,0,11,0,5,29,2,2453,37,46,4269,12,161,37,5305,5,4,0,1,3,15258,365,73358,1630,0,1380,0,8,32,1276,0,549,5,4,5,36,0,2,0,6692,18,1,0,521,0,3,4041,1736,54478,1,7911,15,1,1157,25646,5529,0,1,0,1,0,959,17,112,364,14,82,0,59,30896,0,0,667,15296,0,2382,1,39,2,1,5,6,0,0,52,3,0,0,40,23875,892,0,3001
